Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Fire-Other,215 8th ave,Manhattan,41768.82215,41772.49172,40.74393781,-73.99950703
Fire-Sensitive Location,1784 East 28 Street,Brooklyn,41771.69806,41771.86036,40.60758124,-73.94525564
Fire-2nd Alarm,40-48 Case Street,Queens,41769.23169,41770.82848,40.74773017,-73.87569346
Fire-2nd Alarm,40-48 Case Street,Queens,41769.23169,41769.96457,40.74773017,-73.87569346
Fire-5th Alarm,316 East 194th Street,Bronx,41752.24311,41769.47361,40.86420309,-73.89149696
Fire-2nd Alarm,5463 Arthur Kill Road,Staten Island,41769.15654,41769.21828,40.51188534,-74.25119569
Fire-4th Alarm,673 east 140th street,bronx,41768.856,41769.02963,40.80681821,-73.91339937
Fire-Other,215 8th ave,Manhattan,41768.82215,41768.93966,40.74393781,-73.99950703
Fire-School,155 Tompkins Avenue,Staten Island,41768.52088,41768.59801,,
Law Enforcement-Suspicious Package,,Brooklyn,41767.68663,41767.70958,,
Law Enforcement-Suspicious Package,135th  street & 91st avenue,Queens,41767.444,41767.4737,,
Fire-10-76 (Commercial High Rise Fire),,Brooklyn,41765.84986,41765.87431,,
Law Enforcement-Device,16 Street & Prospect Park West,Brooklyn,41764.41779,41764.93544,40.660389,-73.9803735
Fire-10-77 (Residential High Rise Fire),120 West 57 Street,Brooklyn,41763.49185,41763.53917,,
Law Enforcement-Other,,Brooklyn,41762.63767,41762.83904,,
